DATE,cpercent
10/30/2000,0.016042781
10/31/2000,0.017157895
11/1/2000,-0.015523129
11/2/2000,-0.001997267
11/3/2000,-0.000631978
11/6/2000,0.026349073
11/7/2000,-0.004518382
11/8/2000,0.003816794
11/9/2000,0.000719351
11/10/2000,-0.024440337
11/13/2000,-0.002
11/14/2000,0.002004008
11/15/2000,0.004
11/16/2000,-0.000733906
11/17/2000,0.007239534
11/20/2000,-0.014270833
11/21/2000,0.011201522
11/22/2000,0.00125405
11/24/2000,0
11/27/2000,0.035904394
11/28/2000,-0.00372796
11/29/2000,0.012338188
11/30/2000,-0.002197802
12/1/2000,-0.002503004
12/4/2000,0.053899428
12/5/2000,0.11047619
12/6/2000,-0.012864494
12/7/2000,-0.003475239
12/8/2000,0.019180471
12/11/2000,-0.013686912
12/12/2000,-0.012142238
12/13/2000,-0.000877963
12/14/2000,-0.024604569
12/15/2000,0.010810811
12/18/2000,0.021390374
12/19/2000,-0.006980803
12/20/2000,-0.007908612
12/21/2000,-0.001771479
12/22/2000,0.000887311
12/26/2000,0.019503546
12/27/2000,0.036521739
12/28/2000,0.022651007
12/29/2000,-0.011484824
1/2/2001,-0.010788382
1/3/2001,-0.011744966
1/4/2001,0.010186757
1/5/2001,-0.03697479
1/8/2001,0.006108202
1/9/2001,-0.016478751
1/10/2001,-0.009700176
1/11/2001,-0.001780944
1/12/2001,-0.021409456
1/16/2001,0.034639927
1/17/2001,-0.030837004
1/18/2001,-0.009090909
1/19/2001,-0.020183486
1/22/2001,0.019662921
1/23/2001,0.019283747
1/24/2001,-0.035135135
1/25/2001,0.022408964
1/26/2001,-0.020091324
1/29/2001,0
1/30/2001,0.038210624
1/31/2001,-0.006283662
2/1/2001,0.008130081
2/2/2001,-0.025985663
2/5/2001,0.010119595
2/6/2001,0.017304189
2/7/2001,0.00179051
2/8/2001,0.00178731
2/9/2001,-0.012488849
2/12/2001,0.016260163
2/13/2001,0.014222222
2/14/2001,-0.02716915
2/15/2001,0.034234234
