R,ClPr,OPEN,pre_HIGH,pre_LOW,prev_VOLUME,2dayprice_change,SMA5,SMA10,SMA20
0,178.58,178.9,178.9,177.94,1098851,-2.61,179.808,179.602,179.7665
0,178.57,178.25,179.02,178.27,1327693,-0.24,179.412,179.553,179.6725
0,177.81,178.96,179.0099,177.37,1799474,0.18,179.072,179.449,179.5605
0,178.38,178.72,179.42,177.64,1072341,-0.77,178.434,179.312,179.452
0,178.36,178.58,179.13,177.97,1419250,-0.19,178.346,179.163,179.409
0,178.29,177.08,178.62,177.24,2115083,0.55,178.34,179.074,179.3195
0,178.36,178.11,178.54,177.08,1598351,-0.09,178.282,178.847,179.209
0,177.98,177.65,178.8229,177.62,1621915,0,178.24,178.656,179.1565
0,178.27,177.41,178.37,177.03,1799475,-0.31,178.274,178.354,179.0765
0,177.66,177.17,178.94,177.41,2359679,-0.09,178.252,178.299,179.0195
0,179.63,180.2,178.99,176.14,3421578,-0.32,178.112,178.226,178.914
0,180.44,180.42,180.42,178.92,1936896,1.36,178.38,178.331,178.942
0,180.26,181.29,180.53,179.36,1205590,2.78,178.796,178.518,178.9835
0,181.42,181.73,181.56,179.7,1939921,0.63,179.252,178.763,179.0375
0,181.24,181.11,182.27,181.32,1413320,0.98,179.882,179.067,179.115
0,181.11,181.44,181.65,180.29,1051302,0.98,180.598,179.355,179.2145
0,181.4,181.5,181.7,180.75,1224381,-0.31,180.894,179.637,179.242
0,180.9,180.15,181.84,180.56,2475143,0.16,181.086,179.941,179.2985
0,179.21,179.22,181.32,179.88,1904057,-0.21,181.214,180.233,179.2935
0,179.16,178.75,179.67,178.69,1491437,-2.19,180.772,180.327,179.313
0,178.01,177.41,179.63,178.03,1922623,-1.74,180.356,180.477,179.3515
0,177.12,175.87,178.47,177.19,1659485,-1.2,179.736,180.315,179.323
0,174.87,175.09,177.7925,175.82,2726594,-2.04,178.88,179.983,179.2505
0,175.16,175.2,175.64,174.1301,1842372,-3.14,177.674,179.444,179.1035
0,175.63,174.86,175.47,174.06,2383261,-1.96,176.864,178.818,178.9425
0,175.54,175.14,175.78,173.51,2353554,0.76,176.158,178.257,178.806
0,175.12,172.06,176.08,174.91,1930869,0.38,175.664,177.7,178.6685
0,171.52,171.02,175.14,172.06,2449398,-0.51,175.264,177.072,178.5065
0,169.59,168.14,171.85,170.36,1894081,-4.02,174.594,176.134,178.1835
0,167.19,167.78,169.67,167.96,2237274,-5.53,173.48,175.172,177.7495
0,169.12,168.87,167.83,165.16,2556446,-4.33,171.792,173.975,177.226
0,174.11,172.71,171.54,168.4,4567121,-0.47,170.508,173.086,176.7005
0,171.23,171.83,174.15,172.46,2021545,6.92,170.306,172.785,176.384
0,171.37,171.18,172.6,170.99,1369603,2.11,170.248,172.421,175.9325
0,171.23,170.9,171.97,171.06,1889260,-2.74,170.604,172.042,175.43
0,168.94,169.99,172.799,170.53,2162785,0,171.412,171.602,174.9295
0,169.93,167.35,170,168.42,3447960,-2.43,171.376,170.942,174.321
0,167.8,167.95,170.39,166.62,2632136,-1.3,170.54,170.423,173.7475
0,167.61,167.29,168.8583,167.47,1694233,-1.14,169.854,170.051,173.0925
0,167.13,168.45,167.81,166.6,2021662,-2.32,169.102,169.853,172.5125
0,168.56,169.27,168.64,167.11,2129881,-0.67,168.282,169.847,171.911
0,170.13,170.5,169.3,167.88,2123352,0.95,168.206,169.791,171.4385
0,171.42,170.95,171.47,169.4,2208774,3,168.246,169.393,171.089
0,170.91,170.25,171.93,170.65,1684867,2.86,168.97,169.412,170.9165
0,170.08,168.85,171.49,170.22,1723101,0.78,169.63,169.366,170.704
0,168.38,168.05,170.59,168.59,1510724,-1.34,170.22,169.251,170.4265
0,168.04,168.71,168.66,167.51,1433491,-2.53,170.184,169.195,170.0685
0,168.69,167.78,168.71,167.27,1980584,-2.04,169.766,169.006,169.7145
0,168.32,169.32,168.93,167.09,1228187,0.31,169.22,169.095,169.573
0,168.89,168.91,169.75,167.66,2169597,0.28,168.702,169.166,169.5095
0,168.91,170.01,169.03,168.28,1099137,0.2,168.464,169.342,169.5945
0,169.99,169,170.77,168.53,1563894,0.59,168.57,169.377,169.584
0,168.63,167.16,170.355,168.75,1860038,1.1,168.96,169.363,169.378
0,166.11,165.28,168.79,166.7,1627511,-0.28,168.948,169.084,169.248
0,165.01,165.25,166.56,164.52,1653531,-3.88,168.506,168.604,168.985
0,165.11,165.37,166.47,164.928,1746994,-3.62,167.73,168.097,168.674
0,166.82,166.5,166.06,163.17,1657333,-1,166.97,167.77,168.4825
0,167.81,169.57,167.93,165.76,1624389,1.81,166.336,167.648,168.327
0,169.55,168.5,169.94,167.085,2126015,2.7,166.172,167.56,168.3275
0,168.32,170.05,169.9,168.43,1826217,2.73,166.86,167.683,168.4245
0,170.15,169.86,170.38,167.82,1875893,0.51,167.522,167.626,168.484
0,169.77,170.2,170.63,168.76,1741928,0.6,168.53,167.75,168.5635
0,170.26,169.23,171.27,169.57,1786405,1.45,169.12,167.728,168.5455
0,168.52,168.59,170.39,169,1733137,0.11,169.61,167.891,168.4875
0,168.89,167.84,169.05,167.69,1301262,-1.25,169.404,168.132,168.368
0,167.77,167.46,169.05,167,1630184,-1.37,169.518,168.52,168.3085
0,167.16,166.37,168.33,167.19,1680203,-0.75,169.042,168.786,168.278
0,167.97,167.39,167.7,166.29,2118061,-1.73,168.52,168.82,168.234
0,168.34,167.3,168.07,166.66,1922150,0.2,168.062,168.836,168.198
0,167.38,166.98,168.5,166.94,1700272,1.18,168.026,168.715,168.199
0,167,166.85,167.78,166.495,1961760,-0.59,167.724,168.621,168.1235
0,167.76,166.99,168.77,166.2,1654554,-1.34,167.57,168.306,168.028
0,166.18,167.5,168.38,166.1,2227723,0.38,167.69,168.105,167.9165
0,168.38,168,167.79,164.97,3191913,-0.82,167.332,167.697,167.794
0,168.66,169.09,168.51,166.64,2378321,0.62,167.34,167.683,167.9075
0,168.66,168.97,169.76,167.85,1802263,2.48,167.596,167.66,168.09
0,168.94,170.14,169.7,168.41,1634976,0.28,167.928,167.749,168.2675
0,169.65,169.92,170.45,168.62,1439679,0.28,168.164,167.927,168.3735
0,169.55,168.47,170.77,169.07,1849420,0.99,168.858,168.095,168.4655
0,168.78,168.32,169.87,168.39,1146593,0.61,169.092,168.216,168.4655
0,168.16,169,169,168.2,1417007,-0.87,169.116,168.356,168.4885
0,168.59,168.47,169,167.88,1213407,-1.39,169.016,168.472,168.389
0,168.03,167.01,168.9,167.71,1545911,-0.19,168.946,168.555,168.33
0,166.59,167.12,168.3954,166.93,1636492,-0.13,168.622,168.74,168.2185
0,166.63,167.71,167.96,166.57,1521065,-2,168.03,168.561,168.122
0,167.16,165.88,167.99,166.1,1729301,-1.4,167.6,168.358,168.009
0,166.81,165.34,167.23,165.25,2728068,0.57,167.4,168.208,167.9785
